date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:54:18	4014/4014	---M-Z	200	added ('OK')	application/x-javascript	etag:%22fae-60d3f152-bb4e638142323448;gz%22	https://broadsemis.com/wp-content/plugins/wpforms-lite/assets/js/mailcheck.min.js?ver=1.1.2	HH1/broadsemis.com/wp-content/plugins/wpforms-lite/assets/js/mailcheck.mincfa9.js	(from https://broadsemis.com/index.php/contact-2/)
14:54:19	64657/64657	---M-Z	200	added ('OK')	application/x-javascript	etag:%22fc91-60d3f152-c40bef8eff14e494;gz%22	https://broadsemis.com/wp-content/plugins/wpforms-lite/assets/js/wpforms.js?ver=1.6.7.1	HH1/broadsemis.com/wp-content/plugins/wpforms-lite/assets/js/wpforms8676.js	(from https://broadsemis.com/index.php/contact-2/)
14:54:21	79798/79798	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2009:23:40%20GMT	https://broadsemis.com/Gecko/	HH1/broadsemis.com/Gecko/index.html	(from https://broadsemis.com/wp-content/plugins/elementor/assets/lib/swiper/swiper.min.js?ver=5.3.6)
14:54:21	79810/79810	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2009:23:41%20GMT	https://broadsemis.com/Version/	HH1/broadsemis.com/Version/index.html	(from https://broadsemis.com/wp-content/plugins/elementor/assets/lib/swiper/swiper.min.js?ver=5.3.6)
14:54:22	79792/79792	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2009:23:40%20GMT	https://broadsemis.com/Edge/	HH1/broadsemis.com/Edge/index.html	(from https://broadsemis.com/wp-content/plugins/elementor/assets/lib/swiper/swiper.min.js?ver=5.3.6)
14:54:22	79810/79810	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2009:23:40%20GMT	https://broadsemis.com/Firefox/	HH1/broadsemis.com/Firefox/index.html	(from https://broadsemis.com/wp-content/plugins/elementor/assets/lib/swiper/swiper.min.js?ver=5.3.6)
14:54:22	79810/79810	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2009:23:42%20GMT	https://broadsemis.com/version/	HH1/broadsemis.com/version/index-2.html	(from https://broadsemis.com/wp-content/plugins/elementor/assets/lib/swiper/swiper.min.js?ver=5.3.6)
14:54:23	79846/79846	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2009:23:43%20GMT	https://broadsemis.com/-negative.svg	HH1/broadsemis.com/-negative.svg	(from https://broadsemis.com/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.2.5)
14:54:25	192692/192692	---M--	200	added ('OK')	image/jpeg	etag:%222f0b4-60d80c36-1e5c7c92e2aee703;;;%22	https://broadsemis.com/wp-content/uploads/2021/06/study_cover.jpg	HH1/broadsemis.com/wp-content/uploads/2021/06/study_cover.jpg	(from https://broadsemis.com/wp-content/uploads/elementor/css/post-1632.css?ver=1638067533)
14:54:25	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2030%20Nov%202021%2009:23:46%20GMT	https://broadsemis.com/?p=1907	HH1/broadsemis.com/indexbe5a.html	(from https://broadsemis.com/index.php/jobs/looking-for-business-development-manager/)
14:54:25	602/602	---M-Z	200	added ('OK')	image/svg+xml	etag:%2225a-60d3f152-a2b70c8f85e2faf3;gz%22	https://broadsemis.com/wp-content/plugins/wpforms-lite/assets/images/times-solid-white.svg	HH1/broadsemis.com/wp-content/plugins/wpforms-lite/assets/images/times-solid-white.svg	(from https://broadsemis.com/wp-content/plugins/wpforms-lite/assets/css/wpforms-base.min.css?ver=1.6.7.1)
14:54:26	74605/74605	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2009:23:47%20GMT	https://broadsemis.com/index.php/contact-2/optusnet.com.au	HH1/broadsemis.com/index.php/contact-2/optusnet.com.au	(from https://broadsemis.com/wp-content/plugins/wpforms-lite/assets/js/mailcheck.min.js?ver=1.1.2)
14:54:27	74551/74551	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2009:23:48%20GMT	https://broadsemis.com/index.php/contact-2/com.au	HH1/broadsemis.com/index.php/contact-2/com.au	(from https://broadsemis.com/wp-content/plugins/wpforms-lite/assets/js/mailcheck.min.js?ver=1.1.2)
14:54:28	74551/74551	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2009:23:49%20GMT	https://broadsemis.com/index.php/contact-2/net.au	HH1/broadsemis.com/index.php/contact-2/net.au	(from https://broadsemis.com/wp-content/plugins/wpforms-lite/assets/js/mailcheck.min.js?ver=1.1.2)
